threshold,f1_feeding
0.01,0.5325330787068613
0.02,0.5281730221969266
0.03,0.5241759837374764
0.04,0.5202124520507524
0.05,0.5179770252125914
0.060000000000000005,0.5171114126338007
0.06999999999999999,0.5152625152625152
0.08,0.513978494623656
0.09,0.5120892746435214
0.09999999999999999,0.5106847605677741
0.11,0.5103448275862069
0.12,0.5081115136241928
0.13,0.5074343562163872
0.14,0.5069974554707379
0.15000000000000002,0.5059124320869287
0.16,0.5057729313662604
0.17,0.5035483870967742
0.18000000000000002,0.5010533138875385
0.19,0.5000813934559661
0.2,0.498772704958272
0.21000000000000002,0.4981132075471698
0.22,0.4981866139136169
0.23,0.4962754510842576
0.24000000000000002,0.4942662456373608
0.25,0.49266666666666664
0.26,0.49055341916067546
0.27,0.48893360160965793
0.28,0.4872959784620562
0.29000000000000004,0.4868421052631579
0.3,0.4852791878172589
0.31,0.48405698778833106
0.32,0.48375574077224015
0.33,0.482699846599625
0.34,0.48220396988364134
0.35000000000000003,0.4806734238103419
0.36000000000000004,0.4796831955922865
0.37,0.47892190739460955
0.38,0.47853185595567865
0.39,0.4764716096544539
0.4,0.4765883376849434
0.41000000000000003,0.4754927612070469
0.42000000000000004,0.47437467203078537
0.43,0.4728804634017904
0.44,0.4719338377617456
0.45,0.46981997882103776
0.46,0.4701096568800849
0.47000000000000003,0.4689606243348705
0.48000000000000004,0.46703394348676025
0.49,0.4664172456796722
0.5,0.46651187712091446
0.51,0.4662730363213455
0.52,0.4643818410191997
0.53,0.46394533357309836
0.54,0.4640605296343001
0.55,0.46195553949033075
0.56,0.4601449275362319
0.5700000000000001,0.45849227974568574
0.5800000000000001,0.45759009828904257
0.59,0.45499360964031405
0.6,0.4531135531135531
0.61,0.4514233241505969
0.62,0.4484536082474227
0.63,0.44719350073855246
0.64,0.4450610432852386
0.65,0.4444444444444444
0.66,0.44299552906110284
0.67,0.4425770308123249
0.68,0.44053193481925457
0.6900000000000001,0.43901522270249954
0.7000000000000001,0.4374057315233786
0.7100000000000001,0.43624668936814226
0.72,0.43470007593014426
0.73,0.4334731223789554
0.74,0.4332378223495702
0.75,0.43278437380314055
0.76,0.4317875697517799
0.77,0.42904162633107457
0.78,0.4279611650485437
0.79,0.4253411306042885
0.8,0.4238151194672934
0.81,0.4217981506984064
0.8200000000000001,0.4163863051652484
0.8300000000000001,0.4136969938283894
0.8400000000000001,0.4114583333333333
0.85,0.4100603621730382
0.86,0.4068002428658166
0.87,0.4043203586712859
0.88,0.40106732348111657
0.89,0.39536807278742764
0.9,0.3880409784653983
0.91,0.38191803971271654
0.92,0.3720333547145606
0.93,0.3667027027027027
0.9400000000000001,0.36085626911314983
0.9500000000000001,0.35085384785983587
0.9600000000000001,0.3380090497737557
0.97,0.3210392020412897
0.98,0.30146177809729213
0.99,0.2715114812011103
